level_0,level_1,1,2,3,4
"(0, 0)","(1, 4)",-665.8433551756801,-664.9386500428925,-664.1898277578389,-666.0221223352555
"(2, 0)","(1, 4)",-664.5184923193945,-661.9747949085788,-663.4438587771504,-662.0143587688649
"(1, 4)","(1, 5)",-170.8373694091781,-607.733624664892,-611.3248899257175,-980.375
"(0, 4)","(1, 5)",-522.9027490228198,-604.9477127439923,-602.1833255488452,-190.41190647017595
"(2, 4)","(1, 5)",-607.3807934413833,-602.8101648105453,-761.25,-603.0520857953645
"(1, 3)","(1, 5)",-494.1167630849568,-761.25,-607.8629964109479,-608.2667755784655
"(0, 3)","(1, 5)",-606.4420097258605,-602.7431370745094,-604.5207512536987,-264.60015816344975
"(2, 3)","(1, 5)",0.0,0.0,0.0,0.0
"(3, 5)","(4, 1)",-789.1257315058274,-791.7288321699368,-789.757516587407,-891.625
"(4, 4)","(4, 1)",-788.8166676841365,-784.2628700326993,-888.125,-787.7681073533686
"(1, 3)","(3, 1)",-806.8135268536419,-889.875,-801.9925360457303,-802.5710729661937
"(0, 3)","(3, 1)",-807.3357079693563,-804.7176979684177,-808.7432219086185,-806.9404905188635
"(5, 2)","(2, 2)",-801.6073799866626,-801.717897348879,-803.9401725874666,-954.375
"(5, 1)","(2, 2)",-801.0014004282162,-799.5535740284429,-803.0612518235541,-801.6156573975187
"(5, 0)","(2, 2)",-800.6520717140694,-800.3489773558537,-799.8056704746655,-801.6462984729753
"(4, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(2, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(1, 3)","(3, 2)",-796.903276794131,-888.125,-793.8157127688937,-793.8571617636675
"(0, 3)","(3, 2)",-796.7020904411411,-796.3072354406254,-798.87761764298,-794.0988287148225
"(3, 5)","(4, 2)",-794.9956681090233,-794.51043298313,-798.1065072343667,-953.4375
"(4, 4)","(4, 2)",-794.6063557117741,-794.5486234700256,-886.375,-794.0452536590892
"(5, 1)","(1, 1)",-806.2532221221356,-802.6399968797105,-803.4623987392001,-801.2032760561383
"(5, 0)","(1, 1)",-803.6446743010583,-798.8738653639517,-801.3356319217513,-800.8619559669706
"(5, 2)","(1, 1)",-799.7868567326211,-802.1184872110289,-803.3965001686627,-894.25
"(1, 3)","(1, 1)",-790.7314748216564,-891.625,-794.2911000089415,-787.4281026034948
"(0, 3)","(1, 1)",-788.720659048676,-790.3669496678201,-791.2940073378018,-786.8578134805882
"(5, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(1, 2)","(2, 2)",-794.6834014364622,-798.0997355265171,-797.1750490481807,-792.6720790153668
"(0, 2)","(2, 2)",-793.7892890953851,-794.4057537167143,-792.2126875027336,-791.7683911312033
"(5, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(3, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(0, 4)","(3, 1)",-800.8872653298403,-802.4509839784951,-804.0072065358554,-802.7541826959762
"(1, 4)","(3, 1)",-802.0042403155825,-798.3188859243738,-801.5702959407847,-796.919316074587
"(2, 4)","(3, 1)",-796.0912709401618,-791.9665726797098,-889.875,-791.78510622075
"(0, 5)","(3, 1)",-795.596469558823,-799.1312874608444,-799.8461837767597,-894.25
"(1, 5)","(3, 1)",-797.1209856158998,-795.3044112609248,-798.5687057559246,-893.375
"(2, 5)","(3, 1)",-796.102193686744,-789.823227587003,-792.1932242171266,-892.5
"(3, 4)","(3, 1)",-788.8580706770911,-790.6007409151325,-889.0,-789.0399833633712
"(2, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(2, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(1, 3)","(2, 1)",-787.4250251491503,-889.875,-787.1461108915385,-789.1675066202112
"(0, 3)","(2, 1)",-788.2962767903964,-786.454114954822,-787.8468669239537,-790.0518177913057
"(0, 2)","(1, 2)",-777.3836517367797,-787.255234819005,-779.5174984718924,-778.0202030651427
"(1, 3)","(2, 2)",-789.4571125737125,-888.125,-792.7267681158278,-786.8925198022476
"(0, 3)","(2, 2)",-788.2477188273815,-788.2344690840572,-790.7144695292175,-789.4463933447428
"(2, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(0, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(4, 5)","(4, 1)",-820.1864173107683,-788.1487844418969,-787.1530119133929,-786.5246270120319
"(3, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(4, 5)","(4, 2)",-796.2000031069442,-790.0999680525169,-790.3912327561619,-790.7441406599544
"(3, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(4, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(0, 4)","(3, 2)",-786.5752543337901,-790.4708614004807,-793.1946438148528,-789.6902882187583
"(1, 4)","(3, 2)",-790.3504815881911,-788.9681443320834,-788.9244914190788,-789.4108823988217
"(2, 4)","(3, 2)",-785.1199154395122,-783.6973246950201,-888.125,-783.2646076127072
